customer_id,first_name,last_name,email,city,state,join_date
CUST-0001,Jose,Nelson,brandongeorge@example.com,Phoenix,AZ,2024-01-17
CUST-0002,Marcus,Holden,johnhampton@example.org,Detroit,MI,2025-03-05
CUST-0003,Susan,Gates,cynthiadodson@example.org,Chicago,IL,2024-08-07
CUST-0004,Anthony,Brown,stephensmolly@example.net,Boston,MA,2024-12-06
CUST-0005,William,Thompson,szamora@example.org,Los Angeles,CA,2025-01-14
CUST-0006,Kimberly,Kelly,jenniferlarson@example.com,Atlanta,GA,2024-06-29
CUST-0007,Nicholas,Smith,efarrell@example.net,Nashville,TN,2025-03-28
CUST-0008,Jose,Harris,changthomas@example.org,Denver,CO,2024-02-26
CUST-0009,Jessica,Kelly,albert57@example.com,San Jose,CA,2024-09-18
CUST-0010,Alicia,Gonzalez,orobles@example.net,Seattle,WA,2023-12-16
CUST-0011,Gabriel,Norman,figueroamarissa@example.com,Columbus,OH,2025-03-29
CUST-0012,Tara,Elliott,phansen@example.org,Portland,OR,2024-08-16
CUST-0013,Kimberly,Mcdowell,claudia01@example.org,Seattle,WA,2024-05-24
CUST-0014,Samantha,Horn,rodriguezbrian@example.com,San Antonio,TX,2025-01-25
CUST-0015,Kathryn,Carrillo,crystal67@example.net,Detroit,MI,2024-07-29
CUST-0016,Kyle,Gutierrez,alexa60@example.org,Portland,OR,2024-01-31
CUST-0017,James,Haley,groberts@example.com,Boston,MA,2025-05-24
CUST-0018,Courtney,Hernandez,hawkinskim@example.net,Phoenix,AZ,2024-05-05
CUST-0019,John,Chung,melissacolon@example.org,Denver,CO,2024-03-22
CUST-0020,Derek,Silva,spowell@example.net,Philadelphia,PA,2024-04-13
CUST-0021,Steven,Trujillo,william10@example.org,Atlanta,GA,2024-08-19
CUST-0022,Sabrina,Smith,gfreeman@example.net,Dallas,TX,2024-02-03
CUST-0023,Marco,Ramos,imiller@example.com,Boston,MA,2025-06-21
CUST-0024,Mary,Weber,dowens@example.org,Indianapolis,IN,2025-05-19
CUST-0025,Stacie,Johnson,josephatkinson@example.com,Austin,TX,2024-11-15
